seq_type,study,filename
paired,Mor_2021,SRR12875351_1_Paired_All
paired,Mor_2021,SRR12875354_1_Paired_All
paired,Mor_2021,SRR12875355_1_Paired_All
paired,Mor_2021,SRR12875359_1_Paired_All
paired,Mor_2021,SRR12875356_1_Paired_All
paired,Mor_2021,SRR12875349_1_Paired_All
paired,Mor_2021,SRR12875353_1_Paired_All
paired,Mor_2021,SRR12875362_1_Paired_All
paired,Mor_2021,SRR12875357_1_Paired_All
paired,Mor_2021,SRR12875360_1_Paired_All
paired,Mor_2021,SRR12875361_1_Paired_All
paired,Mor_2021,SRR12875352_1_Paired_All
paired,Mor_2021,SRR12875350_1_Paired_All
paired,Mor_2021,SRR12875358_1_Paired_All
paired,Mor_2021,SRR12875348_1_Paired_All
paired,Setliff_2019,SRR10313332_paired
paired,Setliff_2019,SRR10313335_paired
paired,Woodruff_2020,SRR12113363_1_Paired_All
paired,Woodruff_2020,SRR12113364_1_Paired_All
paired,Goldstein_2019,SRR9179273_paired
paired,Goldstein_2019,SRR9179279_paired
paired,Goldstein_2019,SRR9179277_paired
paired,Goldstein_2019,SRR9179287_paired
paired,Goldstein_2019,SRR9179281_paired
paired,Goldstein_2019,SRR9179288_paired
paired,Goldstein_2019,SRR9179295_paired
paired,Goldstein_2019,SRR9179276_paired
paired,Goldstein_2019,SRR9179300_paired
paired,Goldstein_2019,SRR9179299_paired
paired,Goldstein_2019,SRR9179298_paired
paired,Goldstein_2019,SRR9179280_paired
paired,Goldstein_2019,SRR9179292_paired
paired,Goldstein_2019,SRR9179285_paired
paired,Goldstein_2019,SRR9179283_paired
paired,Goldstein_2019,SRR9179274_paired
paired,Goldstein_2019,SRR9179289_paired
paired,Goldstein_2019,SRR9179278_paired
paired,Goldstein_2019,SRR9179297_paired
paired,Goldstein_2019,SRR9179291_paired
paired,Goldstein_2019,SRR9179293_paired
paired,Goldstein_2019,SRR9179275_paired
paired,Goldstein_2019,SRR9179290_paired
paired,Goldstein_2019,SRR9179284_paired
paired,Goldstein_2019,SRR9179294_paired
paired,Goldstein_2019,SRR9179296_paired
paired,Goldstein_2019,SRR9179282_paired
paired,Goldstein_2019,SRR9179286_paired
paired,Alsoiussi_2020,SRR11528761_paired
paired,Alsoiussi_2020,SRR11528762_paired
paired,Eccles_2020,SRR10358523_paired
paired,Eccles_2020,SRR10358524_paired
paired,Eccles_2020,SRR10358525_paired
paired,Jaffe_2022,1279050_1_Paired_All
paired,Jaffe_2022,1287176_1_Paired_All
paired,Jaffe_2022,1287206_1_Paired_All
paired,Jaffe_2022,1279076_1_Paired_All
paired,Jaffe_2022,1287192_1_Paired_All
paired,Jaffe_2022,1287193_1_Paired_All
paired,Jaffe_2022,1287156_1_Paired_All
paired,Jaffe_2022,1279075_1_Paired_All
paired,Jaffe_2022,1279059_1_Paired_All
paired,Jaffe_2022,1287195_1_Paired_All
paired,Jaffe_2022,1279066_1_Paired_All
paired,Jaffe_2022,1287185_1_Paired_All
paired,Jaffe_2022,1287163_1_Paired_All
paired,Jaffe_2022,1287180_1_Paired_All
paired,Jaffe_2022,1287146_1_Paired_All
paired,Jaffe_2022,1279080_1_Paired_All
paired,Jaffe_2022,1279060_1_Paired_All
paired,Jaffe_2022,1279073_1_Paired_All
paired,Jaffe_2022,1287191_1_Paired_All
paired,Jaffe_2022,1279062_1_Paired_All
paired,Jaffe_2022,1287147_1_Paired_All
paired,Jaffe_2022,1287179_1_Paired_All
paired,Jaffe_2022,1279070_1_Paired_All
paired,Jaffe_2022,1287203_1_Paired_All
paired,Jaffe_2022,1287151_1_Paired_All
paired,Jaffe_2022,1287175_1_Paired_All
paired,Jaffe_2022,1287150_1_Paired_All
paired,Jaffe_2022,1287172_1_Paired_All
paired,Jaffe_2022,1287201_1_Paired_All
paired,Jaffe_2022,1287167_1_Paired_All
paired,Jaffe_2022,1287145_1_Paired_All
paired,Jaffe_2022,1287204_1_Paired_All
paired,Jaffe_2022,1287161_1_Paired_All
paired,Jaffe_2022,1287152_1_Paired_All
paired,Jaffe_2022,1287157_1_Paired_All
paired,Jaffe_2022,1287169_1_Paired_All
paired,Jaffe_2022,1287197_1_Paired_All
paired,Jaffe_2022,1287207_1_Paired_All
paired,Jaffe_2022,1287194_1_Paired_All
paired,Jaffe_2022,1287155_1_Paired_All
paired,Jaffe_2022,1287205_1_Paired_All
paired,Jaffe_2022,1279067_1_Paired_All
paired,Jaffe_2022,1287182_1_Paired_All
paired,Jaffe_2022,1287184_1_Paired_All
paired,Jaffe_2022,1287189_1_Paired_All
paired,Jaffe_2022,1279071_1_Paired_All
paired,Jaffe_2022,1279065_1_Paired_All
paired,Jaffe_2022,1279078_1_Paired_All
paired,Jaffe_2022,1287159_1_Paired_All
paired,Jaffe_2022,1279051_1_Paired_All
paired,Jaffe_2022,1279053_1_Paired_All
paired,Jaffe_2022,1287168_1_Paired_All
paired,Jaffe_2022,1279058_1_Paired_All
paired,Jaffe_2022,1279079_1_Paired_All
paired,Jaffe_2022,1287190_1_Paired_All
paired,Jaffe_2022,1287153_1_Paired_All
paired,Jaffe_2022,1287170_1_Paired_All
paired,Jaffe_2022,1287198_1_Paired_All
paired,Jaffe_2022,1279074_1_Paired_All
paired,Jaffe_2022,1287166_1_Paired_All
paired,Jaffe_2022,1287160_1_Paired_All
paired,Jaffe_2022,1287196_1_Paired_All
paired,Jaffe_2022,1287158_1_Paired_All
paired,Jaffe_2022,1287199_1_Paired_All
paired,Jaffe_2022,1287171_1_Paired_All
paired,Jaffe_2022,1279068_1_Paired_All
paired,Jaffe_2022,1287200_1_Paired_All
paired,Jaffe_2022,1287173_1_Paired_All
paired,Jaffe_2022,1287181_1_Paired_All
paired,Jaffe_2022,1279072_1_Paired_All
paired,Jaffe_2022,1287187_1_Paired_All
paired,Jaffe_2022,1287154_1_Paired_All
paired,Jaffe_2022,1279055_1_Paired_All
paired,Jaffe_2022,1287183_1_Paired_All
paired,Jaffe_2022,1287162_1_Paired_All
paired,Jaffe_2022,1287178_1_Paired_All
paired,Jaffe_2022,1287164_1_Paired_All
paired,Jaffe_2022,1279052_1_Paired_All
paired,Jaffe_2022,1287174_1_Paired_All
paired,Jaffe_2022,1279061_1_Paired_All
paired,Jaffe_2022,1279054_1_Paired_All
paired,Jaffe_2022,1279069_1_Paired_All
paired,Jaffe_2022,1279049_1_Paired_All
paired,Jaffe_2022,1279077_1_Paired_All
paired,Jaffe_2022,1287186_1_Paired_All
paired,Jaffe_2022,1279063_1_Paired_All
paired,Jaffe_2022,1287144_1_Paired_All
paired,Jaffe_2022,1287188_1_Paired_All
paired,Jaffe_2022,1287202_1_Paired_All
paired,Jaffe_2022,1287177_1_Paired_All
paired,Jaffe_2022,1279057_1_Paired_All
paired,Jaffe_2022,1287149_1_Paired_All
paired,Jaffe_2022,1287165_1_Paired_All
paired,Jaffe_2022,1287148_1_Paired_All
paired,King_2020_2,ERR4082299_paired
paired,King_2020_2,ERR4082251_paired
paired,King_2020_2,ERR4082263_paired
paired,King_2020_2,ERR4082243_paired
paired,King_2020_2,ERR4082283_paired
paired,King_2020_2,ERR4082275_paired
paired,King_2020_2,ERR4082259_paired
paired,King_2020_2,ERR4082303_paired
paired,King_2020_2,ERR4082235_paired
paired,King_2020_2,ERR4082227_paired
paired,King_2020_2,ERR4082267_paired
paired,King_2020_2,ERR4082291_paired